Playlist Name,ID,Collection
1980 Country Music #1 Hits,1dgIAlrnI686j6etZlrYhh,english_playlist_80s
Billboard #1 hits '80s - Number one singles 1980-1989,4RFQsq8DrkJmNfR5l2BwfO,english_playlist_80s
1980 - Billboard Top 100,7DCh6mOvaEGMVph25k7hyN,english_playlist_80s
Early 80's (Billboard Hits),0uVTFJOgYUGUZVGWmujdkN,english_playlist_80s
Billboard Hits: 1980-1989,58JzmAHXX1Qc9djFJhh9rV,english_playlist_80s
1980s - Billboard's Top 500 Songs,2rKy7TRijAqjKXoG7wDeuj,english_playlist_80s
80S BILLBOARD top hits,4LRJySFH2XdfE1Z1kNw1ey,english_playlist_80s
Billboard Hot 100 1980's,5DUYSoHRc8CmfGo9xWCPil,english_playlist_80s
80's Billboard Top Songs: 1980 - 1989,66KR11nb1PvYkuRr0SPB9R,english_playlist_80s
Every Billboard Top 40 Hit - 1980-1989,45YnNA7pHir4oUxaePIRBv,english_playlist_80s
Billboard Hot 100 Hits of the 1980s,313QOKKs2H4YotdCw3uZGN,english_playlist_80s
Billboard HOT 100 1980,1Zw9whdhiRnvSupWiLDnIC,english_playlist_80s
1980 slow rock billboard,0t9ENpB1br3X5Kf6NJ6fnP,english_playlist_80s
Billboard Top 100 1980,7wEVpUVrErO2uEfP99EhcB,english_playlist_80s
Billboard 1980s Decade Chart,4E2n5hXvDxonQ9MdqFdILP,english_playlist_80s
Billboard Hot 100: 1980-1990,2fKr4qoMerNGzHxDr4MdXn,english_playlist_80s
Billboard Hot 100 1980,7H5kXWPJ8IpwT3kipftDZD,english_playlist_80s
1980s Number Ones,2BgpVwgQXmei6cDD7OCPp8,english_playlist_80s
Billboard Hot 100 1980,7H5kXWPJ8IpwT3kipftDZD,english_playlist_80s
1980s Number Ones,2BgpVwgQXmei6cDD7OCPp8,english_playlist_80s
1990s Billboard #1 Hits,7mQOxn5Fj51RBT6g3q1HrS,english_playlist_90s
Billboard Hits: 1990-1999,32x10JA1TAN8g0DfhlM6K2,english_playlist_90s
1990s top hits mix,3YptgGfkIgSJKLJgRjRSgb,english_playlist_90s
1990 R&B Hits,0LuonmrgKZRATRKffMHiqb,english_playlist_90s
Billboard #1 hits '90s - Number one singles 1990-1999,5yxxoaPxWT7b6NnwGhG8yV,english_playlist_90s
Billboard's Best of 90s-00s,7FiwbBbhaj5YfAgo18NCiF,english_playlist_90s
1990s - Billboard's Top 500 Songs,2DIKG75Hpiixggrvroc3Zj,english_playlist_90s
Billboard Top 40 Hits of 1990,6PU4XzBwUymNrRq5fJOadV,english_playlist_90s
Billboard HOT 100 1990,0YOCBModzZ6l0Q23ZXwUi2,english_playlist_90s
billboard 1990s | decade | selections,1vuzG8DCong1DtUBCfSbFB,english_playlist_90s
Billboard Top 100 of 1990,2Ezq5tXBfcm08IgV6jVbD5,english_playlist_90s
Billboard 1990-2000,0DFXoO25mK075MWKNv4IGo,english_playlist_90s
Billboard Hot 100: 1980-1990,2fKr4qoMerNGzHxDr4MdXn,english_playlist_80s
Top 100 Rock Songs of 2000s by Billboard,3tlCNynSuF9WsHFcJd40k7,english_playlist_2000s
Billboards Top 100 Pop (2000s - 2010s),5LlYXG2wlWH7K59qXqePAG,english_playlist_2000s
Billboard Hits: 2000-2009,5AdAQLHgvOrKt1vd3588TS,english_playlist_2000s
2000s Billboard #1 Hits,36KZpkdsiRDfPwKQACraUL,english_playlist_2000s
Billboard #1's 2000-2009,219XmtRGaiSHahrORTCQ78,english_playlist_2000s
Billboard HOT 100: 2000,19HPfSG6Xhd37ZmI03py3L,english_playlist_2000s
Billboard hits 2000s,0La2Z0CgSFPK5LINxUPISS,english_playlist_2000s
"Billboard Top 100 Hits (2000-2009) Best Songs 2000, 2001, 2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009",63d4SHIjshzQAcEeIvu8jn,english_playlist_2000s
Billboards Top 100 Rock & Punk (2000-2010),1IX1TfXwTOgVFaHZHq0ZKi,english_playlist_2000s
Billboards Top 100 Pop (2000s - 2010s),5LlYXG2wlWH7K59qXqePAG,english_playlist_2000s
Billboard 2010's Top 100 Songs,06ugDgqq8GqcnJ5FAEDPZr,english_playlist_2010s
Billboard Hits: 2010-2019,0Jj2VAbSjNSgkDWmmd86F6,english_playlist_2010s
2010-2019 Top Songs,6dzWCbiW5HjxaBMuo5THnn,english_playlist_2010s
billboard: 2010-2017,5W6nBgtJj6qVDb8PPquGrM,english_playlist_2010s
Top 500 Songs 2010-2019,0nhzpZoQZaG4rLIjLfZGI1,english_playlist_2010s
BEST ENGLISH SONGS Biggest hits from the 2010s,7ld7q89dE5etlqq60XTiVy,english_playlist_2010s
BILLBOARD 2010-2020,3vQja37O9GuJobRek7Jcar,english_playlist_2010s
"Billboard Top 100 Hits (2010-2014) Best Songs 2010, 2011, 2012, 2013, 2014",4RBDeHluTQGu3o7S5laSvm,english_playlist_2010s
Billboard Top 2010-2015,2b5bGEu3BZ40OK6sw2EQlG,english_playlist_2010s
